c,k,s,t
0.1483,2.2,2.176,0.00273972602739726
0.142,2.2,2.218,0.00273972602739726
0.153,2.2,2.229,0.00273972602739726
0.154,2.2,2.23,0.00273972602739726
0.208,2.2,2.232,0.00273972602739726
0.092,2.2,2.255,0.00273972602739726
0.2443,2.2,2.265,0.00273972602739726
0.193,2.2,2.267,0.00273972602739726
0.203,2.2,2.276,0.00273972602739726
0.2902,2.2,2.308,0.00273972602739726
0.239,2.2,2.353,0.00273972602739726
0.196,2.2,2.358,0.00273972602739726
0.2966,2.2,2.408,0.00273972602739726
0.3149,2.2,2.423,0.00273972602739726
0.364,2.2,2.429,0.00273972602739726
0.4415,2.2,2.445,0.00273972602739726
0.4,2.2,2.509,0.00273972602739726
